Rank,Hurricane Name,Year,Category,Damage,Latitude,Longitude
1,Katrina,2005,3,1.6E+11,29.5,-89.6
2,Harvey,2017,4,1.25E+11,29.760427,-95.369804
3,Maria,2017,4,90000000000,18.429701,-66.128009
4,Sandy,2012,1,70200000000,40.712776,-74.005974
5,Irma,2017,4,50000000000,27.971208,-82.400896
6,Andrew,1992,5,47790000000,25.5,-80.3
7,Ike,2008,2,34800000000,29.760427,-95.369804
8,Ivan,2004,3,27060000000,30.687231,-88.139386
9,Wilma,2005,3,24320000000,26.2,-81
10,Rita,2005,3,23680000000,30.5,-94.1
11,Charley,2004,4,21120000000,26.914417,-82.140557
12,Irene,2011,1,14985000000,41.266324,-73.018081
13,Hugo,1989,4,14070000000,,
14,Frances,2004,2,12936000000,,
15,Agnes,1972,1,12516000000,,
16,Allison,2001,0,11815000000,,
17,Betsy,1965,3,11152000000,,
18,Matthew,2016,1,10300000000,,
19,Jeanne,2004,3,9900000000,,
20,Camille,1969,5,9776000000,,
21,Floyd,1999,2,9620000000,,
22,Fran,1996,3,7900000000,,
23,Diane,1955,1,7630000000,,
24,Opal,1995,3,7614000000,,
25,Alicia,1983,3,7470000000,,
26,Isabel ,2003,2,7370000000,,
27,Gustav,2008,2,6960000000,,
28,Mitch,1998,5,6080000000,14.9,-86.5
29,Celia,1970,3,6026000000,,
30,Frederic,1979,3,5712000000,,
31,Iniki,1992,4,5487000000,,
32,Georges,1998,3,5285000000,,
33,Long Island Express,1938,3,5279000000,,
34,NC/VA,1944,3,4927000000,,
35,David,1979,5,4360000000,18.8,-70.4
36,Carol,1954,3,4198000000,,
37,Hugo,1989,4,3775000000,,
38,Geroges,1998,2,3235000000,,
39,Marilyn,1995,2,3402000000,,
40,Donna,1960,4,3235000000,,
41,Dennis,2005,3,3200000000,,
42,Isaac,2012,1,3024000000,,
43,Elena,1985,3,3003000000,,
44,Gilbert,1988,5,2980000000,17.9,-76.9
45,Allen,1980,5,1570000000,27.7,-99.8
46,Carla,1961,5,325740000,29.5,-97.2
47,Labor Day,1935,5,82000000,24.8,-80.8
